타임스탬프,최근 한 달 이내에 샐러드를 구매한 경험이 있습니까?,이 제품은 신선해 보인다,이 제품은 맛있어 보인다,이 제품은 양이 많아 보인다,이 제품은 건강에 좋아 보인다,이 제품은 영양가가 있어보인다,이 제품은 신뢰가 간다,이 제품은 위생적으로 보인다,나는 이 제품을 구매할 가능성이 있다,나는 이 제품을 구매하는 것을 주위에 추천한다,나는 이 제품을 구매하고 싶다,이 제품은 신선해 보인다,이 제품은 맛있어 보인다,이 제품은 양이 많아 보인다,이 제품은 건강에 좋아 보인다,이 제품은 영양가가 있어 보인다,이 제품에 신뢰가 간다,이 제품은 위생적으로 보인다,나는 이 제품을 구매할 가능성이 있다,나는 이 제품을 구매하는 것을 주위에 추천한다,나는 이 제품을 구매하고 싶다,이 제품은 신선해 보인다,이 제품은 맛있어 보인다,이 제품은 양이 많아 보인다,이 제품은 건강에 좋아 보인다,이 제품은 영양가가 있어 보인다,이 제품에 신뢰가 간다,이 제품은 위생적으로 보인다,나는 이 제품을 구매할 가능성이 있다,나는 이 제품을 구매하는 것을 주위에 추천한다,나는 이 제품을 구매하고 싶다,이 제품은 신선해 보인다,이 제품은 맛있어 보인다,이 제품은 양이 많아 보인다,이 제품은 건강에 좋아 보인다,이 제품은 영양가가 있어 보인다,이 제품에 신뢰가 간다,이 제품은 위생적으로 보인다,나는 이 제품을 구매할 가능성이 있다,나는 이 제품을 구매하는 것을 주위에 추천한다,나는 이 제품을 구매하고 싶다,성별,연령
5-3-2018 19:21:11,아니오,3,2,1,4,5,3,4,1,2,2,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,여자,20대
5-3-2018 19:55:47,아니오,4,4,1,4,3,2,4,2,1,3,4,3,2,3,3,4,4,2,1,2,3,2,1,3,3,2,3,1,1,1,3,3,2,2,3,2,3,1,1,1,여자,20대
5-3-2018 20:18:21,아니오,3,3,1,1,2,1,2,2,1,1,4,4,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,여자,20대
5-3-2018 20:34:04,네,2,4,1,5,3,2,3,3,2,2,3,1,2,3,2,1,2,2,2,1,2,2,3,2,2,3,3,3,2,2,2,2,1,2,1,1,2,2,1,2,여자,20대
5-3-2018 20:57:09,네,2,2,2,3,3,3,3,2,2,3,3,3,4,3,3,3,3,3,3,2,3,2,3,3,3,3,4,3,3,2,3,2,3,2,2,2,3,2,2,3,여자,20대
5-3-2018 23:34:04,네,4,3,2,4,5,3,4,3,3,4,2,3,2,2,3,2,3,3,2,1,4,4,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,1,1,여자,20대
5-3-2018 23:38:11,네,3,4,4,5,5,5,4,5,5,5,3,3,2,2,2,2,3,2,2,3,4,4,4,4,4,5,4,4,4,5,3,2,2,2,4,4,3,3,3,3,여자,20대
5-4-2018 0:20:24,네,3,2,1,4,4,3,3,4,3,3,3,2,2,4,4,3,3,4,3,3,3,3,2,4,3,3,3,4,2,3,2,2,2,4,3,2,3,3,2,2,여자,20대
5-4-2018 0:37:18,네,4,4,4,4,4,4,4,4,4,4,2,3,3,3,4,4,2,2,2,2,2,2,1,4,3,4,4,3,4,2,2,2,2,3,4,4,2,2,2,2,여자,20대
5-4-2018 0:39:28,네,2,2,2,3,3,2,3,2,2,2,3,3,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,여자,20대
